num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,total
13500,20619,94.06467151641846,92.7502088546753,92.7363748550415,518.5286028385162,204.10745310783386,1002.1873111724854
13750,21566,102.32277035713196,101.05282807350159,101.17269897460938,560.7756435871124,221.64859199523926,1086.9725329875946
14000,22196,104.74549865722656,103.04300022125244,102.88875365257263,586.2094292640686,232.91436171531677,1129.801043510437
14250,23405,116.26938009262085,114.75992846488953,114.64768409729004,639.3662405014038,255.1900942325592,1240.2333273887634
14500,24146,118.20131707191467,116.73540019989014,116.76422381401062,672.1254663467407,264.2428209781647,1288.0692284107208
14750,24809,125.16597938537598,124.12327527999878,124.09418153762817,702.0497715473175,279.8178553581238,1355.2510631084442
15000,25827,136.5056917667389,134.81142330169678,135.01030588150024,761.9706237316132,305.9726130962372,1474.2706577777863
15250,26523,144.3941831588745,143.20888662338257,143.26279163360596,807.8467619419098,327.79835200309753,1566.5109753608704
15500,27700,150.97640824317932,149.64976692199707,149.57913160324097,850.2162413597107,346.73728823661804,1647.158836364746
15750,28870,164.7682182788849,162.02506732940674,162.11638069152832,922.2140717506409,370.428426027298,1781.5521640777588
16000,29121,166.14020800590515,164.88221192359924,164.85929942131042,935.4886946678162,379.537878036499,1810.90829205513
16250,30715,181.9229860305786,180.33636093139648,180.15323686599731,1019.7875256538391,416.72944617271423,1978.9295556545258
16500,31290,189.67270421981812,186.73669838905334,186.98259115219116,1076.3667604923248,441.4839572906494,2081.242711544037
16750,32316,197.21829676628113,194.15758228302002,194.01247358322144,1093.903145313263,446.9587073326111,2126.2502052783966
