num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
4500,2226,0.0011034011840820312,0.018751978874206543,0.0008403658866882324,0.0018787980079650879,0.007458388805389404,0.0035768747329711914,0.00018388032913208008,0.03379368782043457
4750,2709,0.0011866092681884766,0.021242201328277588,0.000889897346496582,0.001990795135498047,0.00783771276473999,0.003984510898590088,0.0001901388168334961,0.03732186555862427
5000,3004,0.0012126763661702473,0.022901217142740887,0.0009332497914632161,0.0020107428232828775,0.008267402648925781,0.004301786422729492,0.000196536382039388,0.03982361157735189
5250,3033,0.001291672388712565,0.02570899327596029,0.0009881655375162761,0.0020678043365478516,0.008706728617350262,0.0048143863677978516,0.00020543734232584632,0.043783187866210944
5500,3274,0.0013335545857747395,0.02775446573893229,0.0010093847910563152,0.0022064844767252607,0.00905609130859375,0.005083560943603516,0.0002167224884033203,0.04666026433308919
5750,3611,0.0013755957285563152,0.029799858729044594,0.0010520617167154949,0.00225679079691569,0.009474515914916992,0.005465507507324219,0.0002181529998779297,0.049642483393351235
6000,4181,0.0014425913492838542,0.03441723187764486,0.0011130174001057942,0.0023300647735595703,0.009884516398111979,0.006013949712117514,0.00023221969604492188,0.05543359120686849
6250,4567,0.0014997323354085288,0.03620648384094238,0.001149892807006836,0.002363284428914388,0.010277350743611654,0.006301720937093098,0.0002297560373942057,0.0580282211303711
6500,4577,0.0015963713328043618,0.039815266927083336,0.0012008349100748699,0.0024400552113850913,0.010709683100382486,0.006790876388549805,0.00023706754048665363,0.06279015541076659
6750,5126,0.0018042325973510742,0.044739723205566406,0.0014652013778686523,0.0026053190231323242,0.011777043342590332,0.00730586051940918,0.0002503395080566406,0.06994771957397461
7000,5535,0.0018564462661743164,0.04686248302459717,0.0015159845352172852,0.002681732177734375,0.012248635292053223,0.007676362991333008,0.0002592802047729492,0.07310092449188232
7250,5970,0.0019567012786865234,0.05065333843231201,0.0015586614608764648,0.002767205238342285,0.012713789939880371,0.008169293403625488,0.0002589225769042969,0.07807791233062744
7500,5964,0.002037525177001953,0.05498301982879639,0.001639723777770996,0.002844095230102539,0.013186216354370117,0.008711099624633789,0.0002765655517578125,0.0836782455444336
7750,6792,0.002085447311401367,0.059735655784606934,0.0016962289810180664,0.0029168128967285156,0.013696551322937012,0.00929868221282959,0.00027298927307128906,0.08970236778259277
8000,6777,0.0021758079528808594,0.06157493591308594,0.0017551183700561523,0.003002762794494629,0.014127016067504883,0.009592533111572266,0.00028634071350097656,0.0925145149230957
8250,8081,0.002268075942993164,0.06831395626068115,0.0018339157104492188,0.0030777454376220703,0.014541864395141602,0.010305166244506836,0.0002917051315307617,0.1006324291229248
